avg_cpu_util,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,vertical_scaling,horizontal_action,reward
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,32,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,151,0,0.6481481481481481
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,97,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,180,0,0.6481481481481481
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,230,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,12,0,0.6481481481481481
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,117,0,0.6481481481481481
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,183,0,0.6481481481481481
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,70,0,0.6481481481481481
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,23,0,0.6481481481481481
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,18,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,89,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,155,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,256,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,38,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,122,0,0.6481481481481481
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,214,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,237,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,42,0,0.6481481481481481
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,236,-1
